fielders,isout,team,wickettype,Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,Sum of fours,Sum of innings,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate
{-},false,Super Kings,not out,6716,12187415,2479,0,812,600,343838136,10037,449,57410.1
{-},false,RCB,not out,6563,18697627,2764,0,854,647,366128776,10281,510,58684.11
{-},false,Mumbai,not out,6206,20929791,3013,0,808,662,389912107,9649,480,61170.31
{-},false,KKR,not out,5859,18070430,2810,0,720,654,365221715,8564,368,55332.43
{-},false,Royals,not out,5153,15755203,2420,0,630,557,305306506,7632,322,46442.08
{-},false,Kings XI,not out,4823,14390111,2294,0,611,519,259734531,7137,300,43858.68
{-},false,Sunrisers,not out,4493,15501790,1920,0,544,451,313617515,6688,263,41550.34
{-},false,Daredevils,not out,4321,10520615,1875,0,514,451,195055924,6296,267,37585.34
0,true,RCB,bowled,3786,11353072,1129,12599793,425,409,221075683,4391,149,25651.1
0,true,Royals,bowled,3432,9168940,980,10315754,395,324,180226982,4247,161,22090.31
0,true,Mumbai,bowled,3389,9921743,936,10854381,376,337,189309520,3988,151,22529.2
0,true,Kings XI,bowled,3165,8358831,921,9038798,391,305,159615345,3860,114,20301.24
0,true,KKR,bowled,3121,8724117,978,11446105,378,361,193016249,3786,135,22116.8
0,true,Super Kings,bowled,2705,5091851,662,8254479,305,256,144970209,3152,97,15935.04
0,true,Daredevils,bowled,2474,6370346,752,7130189,273,268,116899539,2854,85,16090.88
0,true,Sunrisers,bowled,2299,7151530,580,8755660,237,231,157589059,2663,83,14659.14
{-},false,Capitals,not out,1890,8675439,937,0,234,211,169623896,2842,118,18187.49
{-},false,Chargers,not out,1513,3891788,907,0,196,186,57259721,2264,85,15853.04
0,true,KKR,lbw,1399,3496140,369,4622864,164,151,85630128,1586,44,8119.17
0,true,Mumbai,lbw,1274,4519352,403,4967188,152,160,90430089,1466,46,9069.59
0,true,Chargers,bowled,1272,2046827,404,2260811,124,133,39723853,1492,54,8308.22
{-},false,Titans,not out,1173,4113879,359,0,145,95,79983583,1866,94,9772.1
0,true,Capitals,bowled,1046,5101357,363,5485909,145,123,96175641,1317,39,7434.04
{-},false,Punjab Kings,not out,1020,5132184,500,0,129,95,91149815,1579,81,9083.05
0,true,RCB,lbw,973,2938658,333,3628497,127,118,62973262,1182,42,7066.76
0,true,Kings XI,lbw,965,2604515,271,2832674,126,107,55003848,1234,42,6256.02
{-},false,Warriors,not out,900,2742126,566,0,88,126,43527382,1181,48,8832.59
0,true,Warriors,bowled,900,2337945,306,1998804,75,100,36078238,984,40,5337.73
0,true,Super Kings,lbw,897,2466797,250,3315588,117,115,67156387,1066,34,6917.29
0,true,Royals,lbw,799,2735990,222,2957405,100,87,53140445,848,16,4707.22
0,true,Daredevils,lbw,750,2126995,200,2308141,91,79,39714064,853,16,4882.76
0,true,Capitals,lbw,746,2638732,178,3022593,98,74,55876406,910,25,4064.67
{-},false,Guj Lions,not out,702,2474608,364,0,87,85,55614918,966,21,7061.34
0,true,Punjab Kings,bowled,669,3658707,295,3915682,75,68,69835816,832,39,5234.12
{-},false,Super Giants,not out,639,3772164,371,0,77,76,67865415,1057,63,7979.21
0,true,Sunrisers,lbw,616,2285753,171,2520144,80,65,44662211,743,23,3477.19
0,true,Guj Lions,bowled,515,1511953,214,2174269,73,57,41948117,665,17,3624.05
{-},false,Supergiant,not out,409,1214244,166,0,38,39,28148135,575,25,2949.19
{46533},true,Mumbai,caught,378,515737,61,792877,31,23,12860724,454,18,1907.97
{8813},true,Mumbai,caught,375,1027791,82,1224099,43,29,19656866,431,16,1949.18
{49247},true,Mumbai,caught,344,769348,66,776878,45,19,15890578,478,20,1982.7
{15716},true,Mumbai,caught,336,896729,112,989607,35,34,17536189,462,25,2422.03
{7593},true,Kings XI,caught,334,881516,95,974225,30,31,20056541,372,13,1999.16
{48405},true,Super Kings,caught,332,565483,80,720836,45,24,10737247,443,18,1886.15
{-},false,Supergiants,not out,328,647033,147,0,37,39,25504810,450,20,3030.27
0,true,Super Giants,bowled,320,1426553,103,1507633,34,34,29373707,433,20,2270.09
{15887},true,Super Kings,caught,308,535036,37,736393,38,17,11916958,400,14,1501.98
0,true,Chargers,lbw,303,694950,120,578131,30,38,11491876,327,11,2127.65
0,true,Titans,bowled,302,1663631,111,1970921,42,43,32103641,339,4,2049.17
0,true,Supergiant,bowled,290,936103,64,941799,36,25,20569789,362,12,1808.98
{7593},true,RCB,caught,289,714955,68,812374,25,27,14952178,357,16,1487.44
0,true,Kochi,bowled,286,251851,88,634044,36,32,10024548,322,6,1475.25
{7593},true,Mumbai,caught,269,1022717,96,1249266,26,35,21842908,283,8,2070.07
{61990},true,Royals,caught,268,556207,33,721776,35,16,11499093,371,16,1443.18
0,true,Punjab Kings,lbw,267,1571987,95,1859189,39,31,31552176,321,8,2394.24
{48405},true,KKR,caught,260,329226,51,462781,27,18,8765112,300,12,1101.08
{53891},true,Sunrisers,caught,260,613886,57,802046,32,19,12146420,352,13,1392.54
{49040},true,Super Kings,caught,253,367141,76,618279,29,29,12611175,290,9,1378.99
{49247},true,RCB,caught,251,649811,60,693339,24,21,16640008,331,16,2038.28
{-},false,Kochi,not out,249,484263,159,0,32,36,12029535,353,14,2899.5
{46933},true,Mumbai,caught,247,800725,73,620686,34,21,16101213,296,8,1683.6
{51216},true,KKR,caught,244,673383,54,957594,33,25,15363017,321,15,1783.97
{8813},true,Royals,caught,240,1148694,101,1256505,30,40,20550834,261,5,2245.06
{46533},true,Super Kings,caught,236,391316,62,743634,32,24,10856460,270,4,1550.99
{49040},true,RCB,caught,235,504308,40,459312,31,14,8638142,341,13,1582.94
{60806},true,Mumbai,caught,235,574763,40,525969,30,14,10235075,309,12,1299.39
{60806},true,Sunrisers,caught,235,482326,44,720551,32,15,12950911,269,2,1086.07
{49040},true,KKR,caught,234,714489,52,767742,23,17,14995351,295,11,1614.36
{49752},true,Super Kings,caught,234,493621,48,592038,21,19,11258354,337,21,1584.2
{53271},true,Super Kings,caught,232,350023,34,714594,22,13,13470762,309,14,1411.71
{46533},true,Sunrisers,caught,230,567516,43,787454,27,20,13866143,303,13,1295.14
{8742},true,Daredevils,caught,230,534260,54,502775,22,19,9297079,272,9,1442.85
0,true,Warriors,lbw,230,409443,58,457951,23,27,8977572,228,5,1326.99
{49247},true,KKR,caught,229,802456,59,828410,24,27,15585172,257,10,1375.94
{48739},true,Super Kings,caught,228,355397,58,581134,19,16,11120921,309,18,1649.45
{53891},true,Mumbai,caught,227,617167,64,680788,23,20,11354001,324,19,1466.24
{46933},true,RCB,caught,226,416668,22,411420,24,10,8214283,266,6,968.55
{53271},true,Mumbai,caught,226,569694,29,613474,32,12,10887070,324,13,1165.56
{7593},true,Royals,caught,226,740651,81,782891,27,29,14238150,299,13,1864.73
{53891},true,RCB,caught,225,293297,36,446311,36,12,7535392,378,22,1346.46
{15716},true,RCB,caught,223,777496,75,792488,19,22,15048059,240,9,1449.91
{46533},true,KKR,caught,223,750638,63,855647,24,21,14523101,260,11,1792.86
{15716},true,Kings XI,caught,222,482535,48,532833,20,16,8845320,247,9,1196.27
{59599},true,Royals,caught,222,656073,34,659789,32,17,10671526,294,10,1118.52
0,true,Supergiants,bowled,221,415011,28,383904,21,11,9809366,296,14,1097.88
{48739},true,Royals,caught,219,412339,48,434442,26,20,9575364,298,15,1235.79
{51216},true,RCB,caught,219,675739,88,1126133,19,32,18709071,228,8,1768.73
{10384},true,Mumbai,caught,218,393734,50,473779,22,17,7653107,259,10,1317.07
{49752},true,Mumbai,caught,216,541231,61,425947,24,16,9060796,251,8,1217.99
{49342},true,Mumbai,caught,213,263720,44,390710,27,20,7856296,254,6,1093.59
{6315},true,RCB,caught,213,227967,26,243246,29,11,3545842,269,6,834.94
{46533},true,Kings XI,caught,212,599513,56,718706,22,23,12477851,247,9,1320.99
{49247},true,Sunrisers,caught,212,552693,47,568577,17,18,12219922,261,12,1362.35
{49247},true,Kings XI,caught,211,574546,49,449093,16,14,9613144,291,15,1282.14
{49752},true,Daredevils,caught,210,549079,36,537434,28,16,8972986,273,11,1473.03
{51012},true,Sunrisers,caught,209,485561,26,502086,23,12,9921390,303,15,1185.08
{67455},true,KKR,caught,205,634956,42,781045,36,26,14528500,317,14,1815.82
{15887},true,Mumbai,caught,204,689223,73,747505,16,27,13572576,229,13,1503.03
{45257},true,RCB,caught,204,338708,29,336582,22,10,6301530,361,23,1171.09
{64479},true,Mumbai,caught,203,864787,63,1009822,15,18,16315857,224,11,1202.88
{71331},true,Sunrisers,caught,202,339996,19,371231,28,10,8221414,290,9,897.77
{51454},true,Mumbai,caught,200,494752,38,517550,15,17,9472082,204,8,1189
{86165},true,KKR,caught,200,398598,31,493000,20,12,10739527,221,5,934.1
{45257},true,Kings XI,caught,198,329400,43,304630,27,13,7008098,235,4,1086.61
0,true,Titans,lbw,198,630682,30,854636,28,15,12024786,278,11,1097.68
