Sum of balls,Sum of batsman_id,Sum of batsman_position,Sum of bowler_id,fielders,Sum of fours,Sum of innings,isout,Sum of match_id,Sum of runs,Sum of sixes,Sum of strikerate,team,wickettype
1890,8675439,937,0,{-},234,211,false,169623896,2842,118,18187.49,Capitals,not out
1513,3891788,907,0,{-},196,186,false,57259721,2264,85,15853.04,Chargers,not out
7,3317,2,0,{-},1,1,false,419117,10,0,142.85,Chargers,retired not out
4321,10520615,1875,0,{-},514,451,false,195055924,6296,267,37585.34,Daredevils,not out
702,2474608,364,0,{-},87,85,false,55614918,966,21,7061.34,Guj Lions,not out
4823,14390111,2294,0,{-},611,519,false,259734531,7137,300,43858.68,Kings XI,not out
5859,18070430,2810,0,{-},720,654,false,365221715,8564,368,55332.43,KKR,not out
10,70411,4,0,{-},2,2,false,1136589,15,0,150,KKR,retired not out
249,484263,159,0,{-},32,36,false,12029535,353,14,2899.5,Kochi,not out
6206,20929791,3013,0,{-},808,662,false,389912107,9649,480,61170.31,Mumbai,not out
78,124629,29,0,{-},8,10,false,4543116,84,3,733.99,Mumbai,retired not out
1020,5132184,500,0,{-},129,95,false,91149815,1579,81,9083.05,Punjab Kings,not out
1,56511,4,0,{-},0,1,false,1359482,1,0,100,Punjab Kings,retired not out
6563,18697627,2764,0,{-},854,647,false,366128776,10281,510,58684.11,RCB,not out
5153,15755203,2420,0,{-},630,557,false,305306506,7632,322,46442.08,Royals,not out
4493,15501790,1920,0,{-},544,451,false,313617515,6688,263,41550.34,Sunrisers,not out
12,77886,5,0,{-},1,4,false,2440643,17,1,154.54,Sunrisers,retired not out
639,3772164,371,0,{-},77,76,false,67865415,1057,63,7979.21,Super Giants,not out
42,63224,5,0,{-},1,1,false,1359537,49,1,116.66,Super Giants,retired not out
6716,12187415,2479,0,{-},812,600,false,343838136,10037,449,57410.1,Super Kings,not out
3,8999,4,0,{-},0,1,false,1254104,0,0,0,Super Kings,retired not out
409,1214244,166,0,{-},38,39,false,28148135,575,25,2949.19,Supergiant,not out
328,647033,147,0,{-},37,39,false,25504810,450,20,3030.27,Supergiants,not out
1,8107,3,0,{-},0,2,false,980931,0,0,0,Supergiants,retired not out
1173,4113879,359,0,{-},145,95,false,79983583,1866,94,9772.1,Titans,not out
900,2742126,566,0,{-},88,126,false,43527382,1181,48,8832.59,Warriors,not out
45,7568,3,0,"{100878,46533}",1,2,true,1216531,53,5,117.77,Kings XI,run out
21,95316,2,0,"{100878,72393}",5,2,true,1312197,35,1,166.66,Titans,run out
37,157496,7,131232,{100878},5,3,true,2520599,55,2,267.94,Capitals,caught
31,198899,16,184482,{100878},2,5,true,3687101,23,1,220.48,KKR,caught
98,220188,12,270792,{100878},8,8,true,4991209,152,10,511.75,Mumbai,caught
19,171829,7,135958,{100878},3,3,true,2613630,22,1,201.18,Punjab Kings,caught
7,135419,10,165370,{100878},1,3,true,2663591,8,0,133.33,RCB,caught
80,317734,23,402394,{100878},6,5,true,6195337,104,6,624.43,Royals,caught
7,51088,1,84635,{100878},0,2,true,1304051,2,0,28.57,Sunrisers,caught
58,165066,18,240852,{100878},6,6,true,5134226,81,4,485.39,Super Kings,caught
13,77887,7,58435,{100878},0,1,true,1359497,27,3,207.69,Titans,caught
6,48671,2,0,"{10125,10553}",2,1,true,980969,16,1,266.66,Supergiants,run out
1,45105,9,0,"{10125,50483,8726}",0,1,true,598063,1,0,100,Mumbai,run out
34,7773,2,0,"{10125,51050}",7,1,true,980995,51,0,150,KKR,run out
12,66722,9,0,"{10125,61479}",2,2,true,980999,14,0,116.66,Kings XI,run out
